elec_state,party,margin,vs
Leichhardt (QLD) ,LNP ,4.2 ,,,,,,,
Lilley (QLD) ,ALP ,0.6 ,,,,,,,
Lindsay (NSW) ,LIB ,5.0 ,,,,,,,
Lingiari (NT) ,ALP ,5.5 ,,,,,,,
Longman (QLD) ,LNP ,3.3 ,,,,,,,
Lyne (NSW) ,NAT ,15.2 ,,,,,,,
Lyons (TAS) ,ALP ,5.2 ,,,,,,,
Macarthur (NSW) ,ALP ,8.4 ,,,,,,,
Mackellar (NSW) ,LIB ,13.2 ,,,,,,,
Macnamara (VIC) ,ALP ,4.9 ,,,,,,,
